2018-07-31 11:09:58.5119 Info Loading Cardigann definition /app/Jackett/Definitions/ourbits.yml 
2018-07-31 11:09:58.5182 Info Loading Cardigann definition /app/Jackett/Definitions/passionetorrent.yml 
2018-07-31 11:09:58.5254 Info Loading Cardigann definition /app/Jackett/Definitions/polishsource.yml 
2018-07-31 11:09:58.5313 Info Loading Cardigann definition /app/Jackett/Definitions/ptfiles.yml 
2018-07-31 11:09:58.5420 Info Loading Cardigann definition /app/Jackett/Definitions/puntotorrent.yml 
2018-07-31 11:09:58.5578 Info Loading Cardigann definition /app/Jackett/Definitions/racing4everyone.yml 
2018-07-31 11:09:58.5722 Info Loading Cardigann definition /app/Jackett/Definitions/rgu.yml 
2018-07-31 11:09:58.5815 Info Loading Cardigann definition /app/Jackett/Definitions/rodvd.yml 
2018-07-31 11:09:58.5879 Info Loading Cardigann definition /app/Jackett/Definitions/rutor.yml 
2018-07-31 11:09:58.5920 Info Loading Cardigann definition /app/Jackett/Definitions/scenefz.yml 
2018-07-31 11:09:58.5975 Info Loading Cardigann definition /app/Jackett/Definitions/scenereactor.yml 
2018-07-31 11:09:58.6020 Info Loading Cardigann definition /app/Jackett/Definitions/sdbits.yml 
2018-07-31 11:09:58.6056 Info Loading Cardigann definition /app/Jackett/Definitions/shareisland.yml 
2018-07-31 11:09:58.6155 Info Loading Cardigann definition /app/Jackett/Definitions/sharespacedb.yml 
2018-07-31 11:09:58.6244 Info Loading Cardigann definition /app/Jackett/Definitions/shellife.yml 
2018-07-31 11:09:58.6273 Info Loading Cardigann definition /app/Jackett/Definitions/sktorrent.yml 
2018-07-31 11:09:58.6344 Info Loading Cardigann definition /app/Jackett/Definitions/speed-share.yml 
2018-07-31 11:09:58.6585 Info Loading Cardigann definition /app/Jackett/Definitions/speedtorrentreloaded.yml 
2018-07-31 11:09:58.6645 Info Loading Cardigann definition /app/Jackett/Definitions/sporthd.yml 
2018-07-31 11:09:58.6718 Info Loading Cardigann definition /app/Jackett/Definitions/sportscult.yml 
2018-07-31 11:09:58.6788 Info Loading Cardigann definition /app/Jackett/Definitions/sukebei-pantsu.yml 
2018-07-31 11:09:58.6826 Info Loading Cardigann definition /app/Jackett/Definitions/sukebeinyaasi.yml 
2018-07-31 11:09:58.6867 Info Loading Cardigann definition /app/Jackett/Definitions/tasmanit.yml 
2018-07-31 11:09:58.6927 Info Loading Cardigann definition /app/Jackett/Definitions/tbplus.yml 
2018-07-31 11:09:58.7033 Info Loading Cardigann definition /app/Jackett/Definitions/tenyardtracker.yml 
2018-07-31 11:09:58.7100 Info Loading Cardigann definition /app/Jackett/Definitions/theempire.yml 
2018-07-31 11:09:58.7157 Info Loading Cardigann definition /app/Jackett/Definitions/thegeeks.yml 
2018-07-31 11:09:58.7256 Info Loading Cardigann definition /app/Jackett/Definitions/thehorrorcharnel.yml 
2018-07-31 11:09:58.7291 Info Loading Cardigann definition /app/Jackett/Definitions/theoccult.yml 
2018-07-31 11:09:58.7431 Info Loading Cardigann definition /app/Jackett/Definitions/thepiratebay.yml 
2018-07-31 11:09:58.7543 Info Loading Cardigann definition /app/Jackett/Definitions/theplace.yml 
2018-07-31 11:09:58.7608 Info Loading Cardigann definition /app/Jackett/Definitions/theshinning.yml 
2018-07-31 11:09:58.7682 Info Loading Cardigann definition /app/Jackett/Definitions/theshow.yml 
2018-07-31 11:09:58.7761 Info Loading Cardigann definition /app/Jackett/Definitions/thetorrents.yml 
2018-07-31 11:09:58.7888 Info Loading Cardigann definition /app/Jackett/Definitions/thevault.yml 
2018-07-31 11:09:58.7966 Info Loading Cardigann definition /app/Jackett/Definitions/tntvillage.yml 
2018-07-31 11:09:58.8001 Info Loading Cardigann definition /app/Jackett/Definitions/tokyotosho.yml 
2018-07-31 11:09:58.8049 Info Loading Cardigann definition /app/Jackett/Definitions/torlock.yml 
2018-07-31 11:09:58.8104 Info Loading Cardigann definition /app/Jackett/Definitions/torrent-turk.yml 
2018-07-31 11:09:58.8149 Info Loading Cardigann definition /app/Jackett/Definitions/torrent9.yml 
2018-07-31 11:09:58.8192 Info Loading Cardigann definition /app/Jackett/Definitions/torrentbd.yml 
2018-07-31 11:09:58.8288 Info Loading Cardigann definition /app/Jackett/Definitions/torrentccf.yml 
2018-07-31 11:09:58.8338 Info Loading Cardigann definition /app/Jackett/Definitions/torrentdownloads.yml 
2018-07-31 11:09:58.8390 Info Loading Cardigann definition /app/Jackett/Definitions/torrenthr.yml 
2018-07-31 11:09:58.8470 Info Loading Cardigann definition /app/Jackett/Definitions/torrenting.yml 
2018-07-31 11:09:58.8511 Info Loading Cardigann definition /app/Jackett/Definitions/torrentkim.yml 
2018-07-31 11:09:58.8540 Info Loading Cardigann definition /app/Jackett/Definitions/torrentland.yml 
2018-07-31 11:09:58.8609 Info Loading Cardigann definition /app/Jackett/Definitions/torrentlt.yml 
2018-07-31 11:09:58.8704 Info Loading Cardigann definition /app/Jackett/Definitions/torrentsectorcrew.yml 
2018-07-31 11:09:58.8789 Info Loading Cardigann definition /app/Jackett/Definitions/torrentseeds.yml 
